period,type,canton,group,value
2016Q1,estimate,BS,Laboratoire cabinet médical,16.23
2016Q1,estimate,BS,Laboratoires,27.67
2016Q1,estimate,BS,Médecins (ambulatoire) sans laboratoire,240.88
2016Q1,estimate,BS,Médicaments (médecin),26.44
2016Q1,estimate,BS,Pharmacies,188.35
2016Q1,estimate,BS,Physiothérapeutes,36.08
2016Q1,estimate,BS,SPITEX (soins à domicile),37.14
2016Q1,estimate,FR,Autres,36.08
2016Q1,estimate,FR,Etablissements médico-sociaux,54.91
2016Q1,estimate,FR,Hôpitaux (ambulatoire),156.60
2016Q1,estimate,FR,Hôpitaux (séjours),209.57
2016Q1,estimate,FR,Laboratoire cabinet médical,15.70
2016Q1,estimate,FR,Laboratoires,28.74
2016Q1,estimate,FR,Médecins (ambulatoire) sans laboratoire,213.89
2016Q1,estimate,FR,Médicaments (médecin),20.99
2016Q1,estimate,FR,Pharmacies,153.54
2016Q1,estimate,FR,Physiothérapeutes,23.38
2016Q1,estimate,FR,SPITEX (soins à domicile),20.50
2016Q1,estimate,GE,Autres,35.74
2016Q1,estimate,GE,Etablissements médico-sociaux,55.91
2016Q1,estimate,GE,Hôpitaux (ambulatoire),198.04
2016Q1,estimate,GE,Hôpitaux (séjours),191.00
2016Q1,estimate,GE,Laboratoire cabinet médical,9.21
2016Q1,estimate,GE,Laboratoires,54.23
2016Q1,estimate,GE,Médecins (ambulatoire) sans laboratoire,353.68
2016Q1,estimate,GE,Médicaments (médecin),16.56
2016Q1,estimate,GE,Pharmacies,192.69
2016Q1,estimate,GE,Physiothérapeutes,34.20
2016Q1,estimate,GE,SPITEX (soins à domicile),28.74
2016Q1,estimate,GL,Autres,29.90
2016Q1,estimate,GL,Etablissements médico-sociaux,62.12
2016Q1,estimate,GL,Hôpitaux (ambulatoire),165.73
2016Q1,estimate,GL,Hôpitaux (séjours),197.88
2016Q1,estimate,GL,Laboratoire cabinet médical,17.94
2016Q1,estimate,GL,Laboratoires,20.63
2016Q1,estimate,GL,Médecins (ambulatoire) sans laboratoire,158.76
2016Q1,estimate,GL,Médicaments (médecin),121.53
2016Q1,estimate,GL,Pharmacies,32.82
2016Q1,estimate,GL,Physiothérapeutes,31.85
2016Q1,estimate,GL,SPITEX (soins à domicile),15.13
2016Q1,estimate,GR,Autres,28.16
2016Q1,estimate,GR,Etablissements médico-sociaux,50.93
2016Q1,estimate,GR,Hôpitaux (ambulatoire),142.27
2016Q1,estimate,GR,Hôpitaux (séjours),142.59
2016Q1,estimate,GR,Laboratoire cabinet médical,17.17
2016Q1,estimate,GR,Laboratoires,20.31
2016Q1,estimate,GR,Médecins (ambulatoire) sans laboratoire,161.33
2016Q1,estimate,GR,Médicaments (médecin),52.37
2016Q1,estimate,GR,Pharmacies,95.37
2016Q1,estimate,GR,Physiothérapeutes,23.78
2016Q1,estimate,GR,SPITEX (soins à domicile),20.50
2016Q1,estimate,JU,Autres,34.50
2016Q1,estimate,JU,Etablissements médico-sociaux,73.54
2016Q1,estimate,JU,Hôpitaux (ambulatoire),201.05
2016Q1,estimate,JU,Hôpitaux (séjours),210.94
2016Q1,estimate,JU,Laboratoire cabinet médical,13.08
2016Q1,estimate,JU,Laboratoires,23.58
2016Q1,estimate,JU,Médecins (ambulatoire) sans laboratoire,194.71
2016Q1,estimate,JU,Médicaments (médecin),21.83
2016Q1,estimate,JU,Pharmacies,179.82
2016Q1,estimate,JU,Physiothérapeutes,22.11
2016Q1,estimate,JU,SPITEX (soins à domicile),45.04
2016Q1,estimate,LU,Autres,31.00
2016Q1,estimate,LU,Etablissements médico-sociaux,62.61
2016Q1,estimate,LU,Hôpitaux (ambulatoire),184.64
2016Q1,estimate,LU,Hôpitaux (séjours),188.29
2016Q1,estimate,LU,Laboratoire cabinet médical,16.38
2016Q1,estimate,LU,Laboratoires,20.33
2016Q1,estimate,LU,Médecins (ambulatoire) sans laboratoire,163.90
2016Q1,estimate,LU,Médicaments (médecin),98.60
2016Q1,estimate,LU,Pharmacies,38.50
2016Q1,estimate,LU,Physiothérapeutes,25.77
2016Q1,estimate,LU,SPITEX (soins à domicile),19.92
2016Q1,estimate,NE,Autres,47.23
2016Q1,estimate,NE,Etablissements médico-sociaux,75.83
2016Q1,estimate,NE,Hôpitaux (ambulatoire),194.64
2016Q1,estimate,NE,Hôpitaux (séjours),186.69
2016Q1,estimate,NE,Laboratoire cabinet médical,9.35
2016Q1,estimate,NE,Laboratoires,44.67
2016Q1,estimate,NE,Médecins (ambulatoire) sans laboratoire,217.62
2016Q1,estimate,NE,Médicaments (médecin),27.44
2016Q1,estimate,NE,Pharmacies,192.86
2016Q1,estimate,NE,Physiothérapeutes,24.47
2016Q1,estimate,NE,SPITEX (soins à domicile),27.14
2016Q1,estimate,NW,Autres,35.49
2016Q1,estimate,NW,Etablissements médico-sociaux,50.36
2016Q1,estimate,NW,Hôpitaux (ambulatoire),172.60
2016Q1,estimate,NW,Hôpitaux (séjours),185.94
2016Q1,estimate,NW,Laboratoire cabinet médical,14.22
2016Q1,estimate,NW,Laboratoires,20.66
2016Q1,estimate,NW,Médecins (ambulatoire) sans laboratoire,148.44
2016Q1,estimate,NW,Médicaments (médecin),85.02
2016Q1,estimate,NW,Pharmacies,36.71
2016Q1,estimate,NW,Physiothérapeutes,23.23
2016Q1,estimate,NW,SPITEX (soins à domicile),17.16
2016Q1,estimate,OW,Autres,29.41
2016Q1,estimate,OW,Etablissements médico-sociaux,48.40
2016Q1,estimate,OW,Hôpitaux (ambulatoire),186.73
2016Q1,estimate,OW,Hôpitaux (séjours),179.33
2016Q1,estimate,OW,Laboratoire cabinet médical,14.85
2016Q1,estimate,OW,Laboratoires,21.32
2016Q1,estimate,OW,Médecins (ambulatoire) sans laboratoire,140.63
2016Q1,estimate,OW,Médicaments (médecin),101.06
2016Q1,estimate,OW,Pharmacies,31.35
2016Q1,estimate,OW,Physiothérapeutes,28.13
2016Q1,estimate,OW,SPITEX (soins à domicile),19.29
2016Q1,estimate,SG,Autres,28.20
2016Q1,estimate,SG,Etablissements médico-sociaux,46.84
2016Q1,estimate,SG,Hôpitaux (ambulatoire),132.20
2016Q1,estimate,SG,Hôpitaux (séjours),216.12
2016Q1,estimate,SG,Laboratoire cabinet médical,16.55
2016Q1,estimate,SG,Laboratoires,18.00
2016Q1,estimate,SG,Médecins (ambulatoire) sans laboratoire,178.99
2016Q1,estimate,SG,Médicaments (médecin),101.47
2016Q1,estimate,SG,Pharmacies,39.48
2016Q1,estimate,SG,Physiothérapeutes,28.21
2016Q1,estimate,SG,SPITEX (soins à domicile),16.79
2016Q1,estimate,SH,Autres,27.74
2016Q1,estimate,SH,Etablissements médico-sociaux,54.52
2016Q1,estimate,SH,Hôpitaux (ambulatoire),113.44
2016Q1,estimate,SH,Hôpitaux (séjours),183.36
2016Q1,estimate,SH,Laboratoire cabinet médical,18.08
2016Q1,estimate,SH,Laboratoires,17.81
2016Q1,estimate,SH,Médecins (ambulatoire) sans laboratoire,175.37
2016Q1,estimate,SH,Médicaments (médecin),61.17
2016Q1,estimate,SH,Pharmacies,111.41
2016Q1,estimate,SH,Physiothérapeutes,33.83
2016Q1,estimate,SH,SPITEX (soins à domicile),21.04
2016Q1,estimate,SO,Autres,33.09
2016Q1,estimate,SO,Etablissements médico-sociaux,47.15
2016Q1,estimate,SO,Hôpitaux (ambulatoire),193.03
2016Q1,estimate,SO,Hôpitaux (séjours),233.86
2016Q1,estimate,SO,Laboratoire cabinet médical,18.36
2016Q1,estimate,SO,Laboratoires,22.56
2016Q1,estimate,SO,Médecins (ambulatoire) sans laboratoire,198.49
2016Q1,estimate,SO,Médicaments (médecin),97.19
2016Q1,estimate,SO,Pharmacies,78.56
2016Q1,estimate,SO,Physiothérapeutes,28.03
2016Q1,estimate,SO,SPITEX (soins à domicile),23.56
2016Q1,estimate,SZ,Autres,27.41
2016Q1,estimate,SZ,Etablissements médico-sociaux,47.22
2016Q1,estimate,SZ,Hôpitaux (ambulatoire),144.40
2016Q1,estimate,SZ,Hôpitaux (séjours),189.43
2016Q1,estimate,SZ,Laboratoire cabinet médical,21.65
2016Q1,estimate,SZ,Laboratoires,24.88
2016Q1,estimate,SZ,Médecins (ambulatoire) sans laboratoire,199.73
2016Q1,estimate,SZ,Médicaments (médecin),103.85
2016Q1,estimate,SZ,Pharmacies,35.28
2016Q1,estimate,SZ,Physiothérapeutes,26.59
2016Q1,estimate,SZ,SPITEX (soins à domicile),15.74
2016Q1,estimate,TG,Autres,28.74
2016Q1,estimate,TG,Etablissements médico-sociaux,43.47
2016Q1,estimate,TG,Hôpitaux (ambulatoire),153.67
2016Q1,estimate,TG,Hôpitaux (séjours),216.50
2016Q1,estimate,TG,Laboratoire cabinet médical,15.06
2016Q1,estimate,TG,Laboratoires,16.88
2016Q1,estimate,TG,Médecins (ambulatoire) sans laboratoire,160.90
2016Q1,estimate,TG,Médicaments (médecin),86.52
2016Q1,estimate,TG,Pharmacies,43.69
2016Q1,estimate,TG,Physiothérapeutes,32.55
2016Q1,estimate,TG,SPITEX (soins à domicile),20.65
2016Q1,estimate,TI,Autres,40.03
2016Q1,estimate,TI,Etablissements médico-sociaux,92.23
2016Q1,estimate,TI,Hôpitaux (ambulatoire),145.86
2016Q1,estimate,TI,Hôpitaux (séjours),210.22
2016Q1,estimate,TI,Laboratoire cabinet médical,21.35
2016Q1,estimate,TI,Laboratoires,32.47
2016Q1,estimate,TI,Médecins (ambulatoire) sans laboratoire,240.32
2016Q1,estimate,TI,Médicaments (médecin),18.49
2016Q1,estimate,TI,Pharmacies,194.95
2016Q1,estimate,TI,Physiothérapeutes,37.68
2016Q1,estimate,TI,SPITEX (soins à domicile),35.67
2016Q1,estimate,UR,Autres,29.01
2016Q1,estimate,UR,Etablissements médico-sociaux,64.90
2016Q1,estimate,UR,Hôpitaux (ambulatoire),166.84
2016Q1,estimate,UR,Hôpitaux (séjours),195.72
2016Q1,estimate,UR,Laboratoire cabinet médical,14.13
2016Q1,estimate,UR,Laboratoires,11.16
2016Q1,estimate,UR,Médecins (ambulatoire) sans laboratoire,122.44
2016Q1,estimate,UR,Médicaments (médecin),87.51
2016Q1,estimate,UR,Pharmacies,18.69
2016Q1,estimate,UR,Physiothérapeutes,18.51
2016Q1,estimate,UR,SPITEX (soins à domicile),14.61
2016Q1,estimate,VD,Autres,38.26
2016Q1,estimate,VD,Etablissements médico-sociaux,61.17
2016Q1,estimate,VD,Hôpitaux (ambulatoire),207.34
2016Q1,estimate,VD,Hôpitaux (séjours),171.01
2016Q1,estimate,VD,Laboratoire cabinet médical,13.08
2016Q1,estimate,VD,Laboratoires,36.36
2016Q1,estimate,VD,Médecins (ambulatoire) sans laboratoire,258.28
2016Q1,estimate,VD,Médicaments (médecin),12.85
2016Q1,estimate,VD,Pharmacies,182.87
2016Q1,estimate,VD,Physiothérapeutes,28.34
2016Q1,estimate,VD,SPITEX (soins à domicile),36.97
2016Q1,estimate,VS,Autres,34.63
2016Q1,estimate,VS,Etablissements médico-sociaux,60.46
2016Q1,estimate,VS,Hôpitaux (ambulatoire),184.86
2016Q1,estimate,VS,Hôpitaux (séjours),170.35
2016Q1,estimate,VS,Laboratoire cabinet médical,17.53
2016Q1,estimate,VS,Laboratoires,23.06
2016Q1,estimate,VS,Médecins (ambulatoire) sans laboratoire,207.18
2016Q1,estimate,VS,Médicaments (médecin),17.63
2016Q1,estimate,VS,Pharmacies,166.37
2016Q1,estimate,VS,Physiothérapeutes,27.24
2016Q1,estimate,VS,SPITEX (soins à domicile),14.78
2016Q1,estimate,ZG,Autres,25.93
2016Q1,estimate,ZG,Etablissements médico-sociaux,42.63
2016Q1,estimate,ZG,Hôpitaux (ambulatoire),147.11
2016Q1,estimate,ZG,Hôpitaux (séjours),175.42
2016Q1,estimate,ZG,Laboratoire cabinet médical,17.40
2016Q1,estimate,ZG,Laboratoires,29.33
2016Q1,estimate,ZG,Médecins (ambulatoire) sans laboratoire,199.73
2016Q1,estimate,ZG,Médicaments (médecin),87.93
2016Q1,estimate,ZG,Pharmacies,40.67
2016Q1,estimate,ZG,Physiothérapeutes,30.09
2016Q1,estimate,ZG,SPITEX (soins à domicile),13.93
2016Q1,estimate,ZH,Autres,30.77
2016Q1,estimate,ZH,Etablissements médico-sociaux,45.93
2016Q1,estimate,ZH,Hôpitaux (ambulatoire),144.71
2016Q1,estimate,ZH,Hôpitaux (séjours),205.74
2016Q1,estimate,ZH,Laboratoire cabinet médical,18.18
2016Q1,estimate,ZH,Laboratoires,25.18
2016Q1,estimate,ZH,Médecins (ambulatoire) sans laboratoire,246.50
2016Q1,estimate,ZH,Médicaments (médecin),76.99
2016Q1,estimate,ZH,Pharmacies,88.64
2016Q1,estimate,ZH,Physiothérapeutes,31.15
2016Q1,estimate,ZH,SPITEX (soins à domicile),19.76
2016Q1,estimate,CH,Autres,836.34
2016Q1,estimate,CH,Etablissements médico-sociaux,1478.90
2016Q1,estimate,CH,Hôpitaux (ambulatoire),4295.49
2016Q1,estimate,CH,Hôpitaux (séjours),5260.01
2016Q1,estimate,CH,Laboratoire cabinet médical,421.65
2016Q1,estimate,CH,Laboratoires,640.51
2016Q1,estimate,CH,Médecins (ambulatoire) sans laboratoire,5119.46
2016Q1,estimate,CH,Médicaments (médecin),1686.42
2016Q1,estimate,CH,Pharmacies,2551.17
2016Q1,estimate,CH,Physiothérapeutes,727.81
2016Q1,estimate,CH,SPITEX (soins à domicile),594.92
2016Q2,estimate,AG,Autres,28.92
2016Q2,estimate,AG,Etablissements médico-sociaux,40.06
2016Q2,estimate,AG,Hôpitaux (ambulatoire),135.72
2016Q2,estimate,AG,Hôpitaux (séjours),210.19
2016Q2,estimate,AG,Laboratoire cabinet médical,17.02
2016Q2,estimate,AG,Laboratoires,19.45
2016Q2,estimate,AG,Médecins (ambulatoire) sans laboratoire,179.05
2016Q2,estimate,AG,Médicaments (médecin),25.55
2016Q2,estimate,AG,Pharmacies,137.68
2016Q2,estimate,AG,Physiothérapeutes,26.80
2016Q2,estimate,AG,SPITEX (soins à domicile),17.07
2016Q2,estimate,AI,Autres,26.14
2016Q2,estimate,AI,Etablissements médico-sociaux,49.34
2016Q2,estimate,AI,Hôpitaux (ambulatoire),122.26
2016Q2,estimate,AI,Hôpitaux (séjours),207.65
2016Q2,estimate,AI,Laboratoire cabinet médical,15.80
2016Q2,estimate,AI,Laboratoires,13.93
2016Q2,estimate,AI,Médecins (ambulatoire) sans laboratoire,133.26
2016Q2,estimate,AI,Médicaments (médecin),90.47
2016Q2,estimate,AI,Pharmacies,23.34
2016Q2,estimate,AI,Physiothérapeutes,17.26
2016Q2,estimate,AI,SPITEX (soins à domicile),18.46
2016Q2,estimate,AR,Autres,27.57
2016Q2,estimate,AR,Etablissements médico-sociaux,63.38
2016Q2,estimate,AR,Hôpitaux (ambulatoire),168.80
2016Q2,estimate,AR,Hôpitaux (séjours),220.56
2016Q2,estimate,AR,Laboratoire cabinet médical,16.01
2016Q2,estimate,AR,Laboratoires,16.83
2016Q2,estimate,AR,Médecins (ambulatoire) sans laboratoire,167.21
2016Q2,estimate,AR,Médicaments (médecin),90.69
2016Q2,estimate,AR,Pharmacies,34.86
2016Q2,estimate,AR,Physiothérapeutes,22.26
2016Q2,estimate,AR,SPITEX (soins à domicile),15.31
2016Q2,estimate,BE,Autres,35.58
2016Q2,estimate,BE,Etablissements médico-sociaux,70.67
2016Q2,estimate,BE,Hôpitaux (ambulatoire),177.34
2016Q2,estimate,BE,Hôpitaux (séjours),217.65
2016Q2,estimate,BE,Laboratoire cabinet médical,18.96
2016Q2,estimate,BE,Laboratoires,23.56
2016Q2,estimate,BE,Médecins (ambulatoire) sans laboratoire,198.09
2016Q2,estimate,BE,Médicaments (médecin),70.25
2016Q2,estimate,BE,Pharmacies,100.69
2016Q2,estimate,BE,Physiothérapeutes,25.94
2016Q2,estimate,BE,SPITEX (soins à domicile),35.27
2016Q2,estimate,BL,Autres,30.53
2016Q2,estimate,BL,Etablissements médico-sociaux,41.71
2016Q2,estimate,BL,Hôpitaux (ambulatoire),193.10
2016Q2,estimate,BL,Hôpitaux (séjours),260.39
2016Q2,estimate,BL,Laboratoire cabinet médical,18.78
2016Q2,estimate,BL,Laboratoires,26.75
2016Q2,estimate,BL,Médecins (ambulatoire) sans laboratoire,245.66
2016Q2,estimate,BL,Médicaments (médecin),84.25
2016Q2,estimate,BL,Pharmacies,105.49
2016Q2,estimate,BL,Physiothérapeutes,36.94
2016Q2,estimate,BL,SPITEX (soins à domicile),23.97
2016Q2,estimate,BS,Autres,35.45
2016Q2,estimate,BS,Etablissements médico-sociaux,62.59
2016Q2,estimate,BS,Hôpitaux (ambulatoire),211.25
2016Q2,estimate,BS,Hôpitaux (séjours),305.16
2016Q2,estimate,BS,Laboratoire cabinet médical,16.25
2016Q2,estimate,BS,Laboratoires,27.64
2016Q2,estimate,BS,Médecins (ambulatoire) sans laboratoire,239.44
2016Q2,estimate,BS,Médicaments (médecin),26.79
2016Q2,estimate,BS,Pharmacies,184.91
2016Q2,estimate,BS,Physiothérapeutes,38.11
2016Q2,estimate,BS,SPITEX (soins à domicile),35.04
2016Q2,estimate,FR,Autres,33.61
2016Q2,estimate,FR,Etablissements médico-sociaux,50.69
2016Q2,estimate,FR,Hôpitaux (ambulatoire),170.02
2016Q2,estimate,FR,Hôpitaux (séjours),169.62
2016Q2,estimate,FR,Laboratoire cabinet médical,14.39
2016Q2,estimate,FR,Laboratoires,26.32
2016Q2,estimate,FR,Médecins (ambulatoire) sans laboratoire,190.99
2016Q2,estimate,FR,Médicaments (médecin),19.53
2016Q2,estimate,FR,Pharmacies,141.10
2016Q2,estimate,FR,Physiothérapeutes,22.27
2016Q2,estimate,FR,SPITEX (soins à domicile),18.23
2016Q2,estimate,GE,Autres,35.17
2016Q2,estimate,GE,Etablissements médico-sociaux,54.95
2016Q2,estimate,GE,Hôpitaux (ambulatoire),204.51
2016Q2,estimate,GE,Hôpitaux (séjours),172.29
2016Q2,estimate,GE,Laboratoire cabinet médical,8.41
2016Q2,estimate,GE,Laboratoires,52.63
2016Q2,estimate,GE,Médecins (ambulatoire) sans laboratoire,340.09
2016Q2,estimate,GE,Médicaments (médecin),15.68
2016Q2,estimate,GE,Pharmacies,187.39
2016Q2,estimate,GE,Physiothérapeutes,33.79
2016Q2,estimate,GE,SPITEX (soins à domicile),29.48
2016Q2,estimate,GL,Autres,24.49
2016Q2,estimate,GL,Etablissements médico-sociaux,61.33
2016Q2,estimate,GL,Hôpitaux (ambulatoire),172.01
2016Q2,estimate,GL,Hôpitaux (séjours),208.05
2016Q2,estimate,GL,Laboratoire cabinet médical,18.06
2016Q2,estimate,GL,Laboratoires,21.04
2016Q2,estimate,GL,Médecins (ambulatoire) sans laboratoire,158.73
2016Q2,estimate,GL,Médicaments (médecin),114.72
2016Q2,estimate,GL,Pharmacies,33.04
2016Q2,estimate,GL,Physiothérapeutes,30.90
2016Q2,estimate,GL,SPITEX (soins à domicile),14.45
2016Q2,estimate,GR,Autres,28.36
2016Q2,estimate,GR,Etablissements médico-sociaux,51.58
2016Q2,estimate,GR,Hôpitaux (ambulatoire),157.22
2016Q2,estimate,GR,Hôpitaux (séjours),223.31
2016Q2,estimate,GR,Laboratoire cabinet médical,17.68
2016Q2,estimate,GR,Laboratoires,20.74
2016Q2,estimate,GR,Médecins (ambulatoire) sans laboratoire,163.16
2016Q2,estimate,GR,Médicaments (médecin),53.35
2016Q2,estimate,GR,Pharmacies,101.88
2016Q2,estimate,GR,Physiothérapeutes,23.55
2016Q2,estimate,GR,SPITEX (soins à domicile),20.50
2016Q2,estimate,JU,Autres,31.12
2016Q2,estimate,JU,Etablissements médico-sociaux,73.65
2016Q2,estimate,JU,Hôpitaux (ambulatoire),188.08
2016Q2,estimate,JU,Hôpitaux (séjours),245.33
2016Q2,estimate,JU,Laboratoire cabinet médical,11.95
2016Q2,estimate,JU,Laboratoires,22.24
2016Q2,estimate,JU,Médecins (ambulatoire) sans laboratoire,187.48
2016Q2,estimate,JU,Médicaments (médecin),20.97
2016Q2,estimate,JU,Pharmacies,170.13
2016Q2,estimate,JU,Physiothérapeutes,20.70
2016Q2,estimate,JU,SPITEX (soins à domicile),43.57
2016Q2,estimate,LU,Autres,29.46
2016Q2,estimate,LU,Etablissements médico-sociaux,58.36
2016Q2,estimate,LU,Hôpitaux (ambulatoire),170.13
2016Q2,estimate,LU,Hôpitaux (séjours),177.35
2016Q2,estimate,LU,Laboratoire cabinet médical,16.38
2016Q2,estimate,LU,Laboratoires,19.73
2016Q2,estimate,LU,Médecins (ambulatoire) sans laboratoire,162.62
2016Q2,estimate,LU,Médicaments (médecin),96.90
2016Q2,estimate,LU,Pharmacies,35.79
2016Q2,estimate,LU,Physiothérapeutes,24.67
2016Q2,estimate,LU,SPITEX (soins à domicile),19.16
2016Q2,estimate,NE,Autres,43.00
2016Q2,estimate,NE,Etablissements médico-sociaux,87.47
2016Q2,estimate,NE,Hôpitaux (ambulatoire),167.36
2016Q2,estimate,NE,Hôpitaux (séjours),167.14
2016Q2,estimate,NE,Laboratoire cabinet médical,7.79
2016Q2,estimate,NE,Laboratoires,41.58
2016Q2,estimate,NE,Médecins (ambulatoire) sans laboratoire,191.08
2016Q2,estimate,NE,Médicaments (médecin),27.65
2016Q2,estimate,NE,Pharmacies,182.68
2016Q2,estimate,NE,Physiothérapeutes,24.90
2016Q2,estimate,NE,SPITEX (soins à domicile),38.96
2016Q2,estimate,NW,Autres,31.02
2016Q2,estimate,NW,Etablissements médico-sociaux,49.39
2016Q2,estimate,NW,Hôpitaux (ambulatoire),171.32
2016Q2,estimate,NW,Hôpitaux (séjours),189.32
2016Q2,estimate,NW,Laboratoire cabinet médical,15.14
2016Q2,estimate,NW,Laboratoires,18.91
2016Q2,estimate,NW,Médecins (ambulatoire) sans laboratoire,152.30
2016Q2,estimate,NW,Médicaments (médecin),89.08
2016Q2,estimate,NW,Pharmacies,35.20
2016Q2,estimate,NW,Physiothérapeutes,21.58
2016Q2,estimate,NW,SPITEX (soins à domicile),16.48
2016Q2,estimate,OW,Autres,28.34
2016Q2,estimate,OW,Etablissements médico-sociaux,48.44
2016Q2,estimate,OW,Hôpitaux (ambulatoire),207.88
2016Q2,estimate,OW,Hôpitaux (séjours),180.59
2016Q2,estimate,OW,Laboratoire cabinet médical,16.35
2016Q2,estimate,OW,Laboratoires,21.13
2016Q2,estimate,OW,Médecins (ambulatoire) sans laboratoire,144.33
2016Q2,estimate,OW,Médicaments (médecin),104.31
2016Q2,estimate,OW,Pharmacies,30.86
2016Q2,estimate,OW,Physiothérapeutes,26.91
2016Q2,estimate,OW,SPITEX (soins à domicile),17.93
2016Q2,estimate,SG,Autres,27.60
2016Q2,estimate,SG,Etablissements médico-sociaux,47.44
2016Q2,estimate,SG,Hôpitaux (ambulatoire),164.87
2016Q2,estimate,SG,Hôpitaux (séjours),203.70
2016Q2,estimate,SG,Laboratoire cabinet médical,17.38
2016Q2,estimate,SG,Laboratoires,17.99
2016Q2,estimate,SG,Médecins (ambulatoire) sans laboratoire,184.63
2016Q2,estimate,SG,Médicaments (médecin),105.01
2016Q2,estimate,SG,Pharmacies,38.78
2016Q2,estimate,SG,Physiothérapeutes,27.57
2016Q2,estimate,SG,SPITEX (soins à domicile),16.52
2016Q2,estimate,SH,Autres,28.58
2016Q2,estimate,SH,Etablissements médico-sociaux,53.80
2016Q2,estimate,SH,Hôpitaux (ambulatoire),130.94
2016Q2,estimate,SH,Hôpitaux (séjours),203.40
2016Q2,estimate,SH,Laboratoire cabinet médical,17.34
2016Q2,estimate,SH,Laboratoires,18.36
2016Q2,estimate,SH,Médecins (ambulatoire) sans laboratoire,174.99
2016Q2,estimate,SH,Médicaments (médecin),63.34
2016Q2,estimate,SH,Pharmacies,109.17
2016Q2,estimate,SH,Physiothérapeutes,32.26
2016Q2,estimate,SH,SPITEX (soins à domicile),20.86
2016Q2,estimate,SO,Autres,33.01
2016Q2,estimate,SO,Etablissements médico-sociaux,45.35
2016Q2,estimate,SO,Hôpitaux (ambulatoire),194.97
2016Q2,estimate,SO,Hôpitaux (séjours),242.94
2016Q2,estimate,SO,Laboratoire cabinet médical,17.99
2016Q2,estimate,SO,Laboratoires,22.20
2016Q2,estimate,SO,Médecins (ambulatoire) sans laboratoire,190.57
2016Q2,estimate,SO,Médicaments (médecin),92.71
2016Q2,estimate,SO,Pharmacies,78.74
