Period,Canton,Cost_Group,Value,Type
2016Q1,ZH,Laboratoire cabinet médical,18.18,Historical
2016Q1,ZH,Laboratoires,25.18,Historical
2016Q1,ZH,Médecins (ambulatoire) sans laboratoire,246.50,Historical
2016Q1,ZH,Médicaments (médecin),76.99,Historical
2016Q1,ZH,Pharmacies,88.64,Historical
2016Q1,ZH,Physiothérapeutes,31.15,Historical
2016Q1,ZH,SPITEX (soins à domicile),19.76,Historical
2016Q1,ZH,Total,933.54,Historical
2016Q2,AG,Autres,28.92,Historical
2016Q2,AG,Etablissements médico-sociaux,40.06,Historical
2016Q2,AG,Hôpitaux (ambulatoire),135.72,Historical
2016Q2,AG,Hôpitaux (séjours),210.19,Historical
2016Q2,AG,Laboratoire cabinet médical,17.02,Historical
2016Q2,AG,Laboratoires,19.45,Historical
2016Q2,AG,Médecins (ambulatoire) sans laboratoire,179.05,Historical
2016Q2,AG,Médicaments (médecin),25.55,Historical
2016Q2,AG,Pharmacies,137.68,Historical
2016Q2,AG,Physiothérapeutes,26.80,Historical
2016Q2,AG,SPITEX (soins à domicile),17.07,Historical
2016Q2,AG,Total,837.51,Historical
2016Q2,AI,Autres,26.14,Historical
2016Q2,AI,Etablissements médico-sociaux,49.34,Historical
2016Q2,AI,Hôpitaux (ambulatoire),122.26,Historical
2016Q2,AI,Hôpitaux (séjours),207.65,Historical
2016Q2,AI,Laboratoire cabinet médical,15.80,Historical
2016Q2,AI,Laboratoires,13.93,Historical
2016Q2,AI,Médecins (ambulatoire) sans laboratoire,133.26,Historical
2016Q2,AI,Médicaments (médecin),90.47,Historical
2016Q2,AI,Pharmacies,23.34,Historical
2016Q2,AI,Physiothérapeutes,17.26,Historical
2016Q2,AI,SPITEX (soins à domicile),18.46,Historical
2016Q2,AI,Total,717.90,Historical
2016Q2,AR,Autres,27.57,Historical
2016Q2,AR,Etablissements médico-sociaux,63.38,Historical
2016Q2,AR,Hôpitaux (ambulatoire),168.80,Historical
2016Q2,AR,Hôpitaux (séjours),220.56,Historical
2016Q2,AR,Laboratoire cabinet médical,16.01,Historical
2016Q2,AR,Laboratoires,16.83,Historical
2016Q2,AR,Médecins (ambulatoire) sans laboratoire,167.21,Historical
2016Q2,AR,Médicaments (médecin),90.69,Historical
2016Q2,AR,Pharmacies,34.86,Historical
2016Q2,AR,Physiothérapeutes,22.26,Historical
2016Q2,AR,SPITEX (soins à domicile),15.31,Historical
2016Q2,AR,Total,843.48,Historical
2016Q2,BE,Autres,35.58,Historical
2016Q2,BE,Etablissements médico-sociaux,70.67,Historical
2016Q2,BE,Hôpitaux (ambulatoire),177.34,Historical
2016Q2,BE,Hôpitaux (séjours),217.65,Historical
2016Q2,BE,Laboratoire cabinet médical,18.96,Historical
2016Q2,BE,Laboratoires,23.56,Historical
2016Q2,BE,Médecins (ambulatoire) sans laboratoire,198.09,Historical
2016Q2,BE,Médicaments (médecin),70.25,Historical
2016Q2,BE,Pharmacies,100.69,Historical
2016Q2,BE,Physiothérapeutes,25.94,Historical
2016Q2,BE,SPITEX (soins à domicile),35.27,Historical
2016Q2,BE,Total,974.01,Historical
2016Q2,BL,Autres,30.53,Historical
2016Q2,BL,Etablissements médico-sociaux,41.71,Historical
2016Q2,BL,Hôpitaux (ambulatoire),193.10,Historical
2016Q2,BL,Hôpitaux (séjours),260.39,Historical
2016Q2,BL,Laboratoire cabinet médical,18.78,Historical
2016Q2,BL,Laboratoires,26.75,Historical
2016Q2,BL,Médecins (ambulatoire) sans laboratoire,245.66,Historical
2016Q2,BL,Médicaments (médecin),84.25,Historical
2016Q2,BL,Pharmacies,105.49,Historical
2016Q2,BL,Physiothérapeutes,36.94,Historical
2016Q2,BL,SPITEX (soins à domicile),23.97,Historical
2016Q2,BL,Total,1067.57,Historical
2016Q2,BS,Autres,35.45,Historical
2016Q2,BS,Etablissements médico-sociaux,62.59,Historical
2016Q2,BS,Hôpitaux (ambulatoire),211.25,Historical
2016Q2,BS,Hôpitaux (séjours),305.16,Historical
2016Q2,BS,Laboratoire cabinet médical,16.25,Historical
2016Q2,BS,Laboratoires,27.64,Historical
2016Q2,BS,Médecins (ambulatoire) sans laboratoire,239.44,Historical
2016Q2,BS,Médicaments (médecin),26.79,Historical
2016Q2,BS,Pharmacies,184.91,Historical
2016Q2,BS,Physiothérapeutes,38.11,Historical
2016Q2,BS,SPITEX (soins à domicile),35.04,Historical
2016Q2,BS,Total,1182.61,Historical
2016Q2,CH,Autres,32.14,Historical
2016Q2,CH,Etablissements médico-sociaux,54.01,Historical
2016Q2,CH,Hôpitaux (ambulatoire),175.65,Historical
2016Q2,CH,Hôpitaux (séjours),209.02,Historical
2016Q2,CH,Laboratoire cabinet médical,16.38,Historical
2016Q2,CH,Laboratoires,26.15,Historical
2016Q2,CH,Médecins (ambulatoire) sans laboratoire,213.25,Historical
2016Q2,CH,Médicaments (médecin),57.19,Historical
2016Q2,CH,Pharmacies,112.27,Historical
2016Q2,CH,Physiothérapeutes,28.28,Historical
2016Q2,CH,SPITEX (soins à domicile),24.80,Historical
2016Q2,CH,Total,949.15,Historical
2016Q2,FR,Autres,33.61,Historical
2016Q2,FR,Etablissements médico-sociaux,50.69,Historical
2016Q2,FR,Hôpitaux (ambulatoire),170.02,Historical
2016Q2,FR,Hôpitaux (séjours),169.62,Historical
2016Q2,FR,Laboratoire cabinet médical,14.39,Historical
2016Q2,FR,Laboratoires,26.32,Historical
2016Q2,FR,Médecins (ambulatoire) sans laboratoire,190.99,Historical
2016Q2,FR,Médicaments (médecin),19.53,Historical
2016Q2,FR,Pharmacies,141.10,Historical
2016Q2,FR,Physiothérapeutes,22.27,Historical
2016Q2,FR,SPITEX (soins à domicile),18.23,Historical
2016Q2,FR,Total,856.78,Historical
2016Q2,GE,Autres,35.17,Historical
2016Q2,GE,Etablissements médico-sociaux,54.95,Historical
2016Q2,GE,Hôpitaux (ambulatoire),204.51,Historical
2016Q2,GE,Hôpitaux (séjours),172.29,Historical
2016Q2,GE,Laboratoire cabinet médical,8.41,Historical
2016Q2,GE,Laboratoires,52.63,Historical
2016Q2,GE,Médecins (ambulatoire) sans laboratoire,340.09,Historical
2016Q2,GE,Médicaments (médecin),15.68,Historical
2016Q2,GE,Pharmacies,187.39,Historical
2016Q2,GE,Physiothérapeutes,33.79,Historical
2016Q2,GE,SPITEX (soins à domicile),29.48,Historical
2016Q2,GE,Total,1134.37,Historical
2016Q2,GL,Autres,24.49,Historical
2016Q2,GL,Etablissements médico-sociaux,61.33,Historical
2016Q2,GL,Hôpitaux (ambulatoire),172.01,Historical
2016Q2,GL,Hôpitaux (séjours),208.05,Historical
2016Q2,GL,Laboratoire cabinet médical,18.06,Historical
2016Q2,GL,Laboratoires,21.04,Historical
2016Q2,GL,Médecins (ambulatoire) sans laboratoire,158.73,Historical
2016Q2,GL,Médicaments (médecin),114.72,Historical
2016Q2,GL,Pharmacies,33.04,Historical
2016Q2,GL,Physiothérapeutes,30.90,Historical
2016Q2,GL,SPITEX (soins à domicile),14.45,Historical
2016Q2,GL,Total,856.83,Historical
2016Q2,GR,Autres,28.36,Historical
2016Q2,GR,Etablissements médico-sociaux,51.58,Historical
2016Q2,GR,Hôpitaux (ambulatoire),157.22,Historical
2016Q2,GR,Hôpitaux (séjours),223.31,Historical
2016Q2,GR,Laboratoire cabinet médical,17.68,Historical
2016Q2,GR,Laboratoires,20.74,Historical
2016Q2,GR,Médecins (ambulatoire) sans laboratoire,163.16,Historical
2016Q2,GR,Médicaments (médecin),53.35,Historical
2016Q2,GR,Pharmacies,101.88,Historical
2016Q2,GR,Physiothérapeutes,23.55,Historical
2016Q2,GR,SPITEX (soins à domicile),20.50,Historical
2016Q2,GR,Total,861.33,Historical
2016Q2,JU,Autres,31.12,Historical
2016Q2,JU,Etablissements médico-sociaux,73.65,Historical
2016Q2,JU,Hôpitaux (ambulatoire),188.08,Historical
2016Q2,JU,Hôpitaux (séjours),245.33,Historical
2016Q2,JU,Laboratoire cabinet médical,11.95,Historical
2016Q2,JU,Laboratoires,22.24,Historical
2016Q2,JU,Médecins (ambulatoire) sans laboratoire,187.48,Historical
2016Q2,JU,Médicaments (médecin),20.97,Historical
2016Q2,JU,Pharmacies,170.13,Historical
2016Q2,JU,Physiothérapeutes,20.70,Historical
2016Q2,JU,SPITEX (soins à domicile),43.57,Historical
2016Q2,JU,Total,1015.22,Historical
2016Q2,LU,Autres,29.46,Historical
2016Q2,LU,Etablissements médico-sociaux,58.36,Historical
2016Q2,LU,Hôpitaux (ambulatoire),170.13,Historical
2016Q2,LU,Hôpitaux (séjours),177.35,Historical
2016Q2,LU,Laboratoire cabinet médical,16.38,Historical
2016Q2,LU,Laboratoires,19.73,Historical
2016Q2,LU,Médecins (ambulatoire) sans laboratoire,162.62,Historical
2016Q2,LU,Médicaments (médecin),96.90,Historical
2016Q2,LU,Pharmacies,35.79,Historical
2016Q2,LU,Physiothérapeutes,24.67,Historical
2016Q2,LU,SPITEX (soins à domicile),19.16,Historical
2016Q2,LU,Total,810.55,Historical
2016Q2,NE,Autres,43.00,Historical
2016Q2,NE,Etablissements médico-sociaux,87.47,Historical
2016Q2,NE,Hôpitaux (ambulatoire),167.36,Historical
2016Q2,NE,Hôpitaux (séjours),167.14,Historical
2016Q2,NE,Laboratoire cabinet médical,7.79,Historical
2016Q2,NE,Laboratoires,41.58,Historical
2016Q2,NE,Médecins (ambulatoire) sans laboratoire,191.08,Historical
2016Q2,NE,Médicaments (médecin),27.65,Historical
2016Q2,NE,Pharmacies,182.68,Historical
2016Q2,NE,Physiothérapeutes,24.90,Historical
2016Q2,NE,SPITEX (soins à domicile),38.96,Historical
2016Q2,NE,Total,979.60,Historical
2016Q2,NW,Autres,31.02,Historical
2016Q2,NW,Etablissements médico-sociaux,49.39,Historical
2016Q2,NW,Hôpitaux (ambulatoire),171.32,Historical
2016Q2,NW,Hôpitaux (séjours),189.32,Historical
2016Q2,NW,Laboratoire cabinet médical,15.14,Historical
2016Q2,NW,Laboratoires,18.91,Historical
2016Q2,NW,Médecins (ambulatoire) sans laboratoire,152.30,Historical
2016Q2,NW,Médicaments (médecin),89.08,Historical
2016Q2,NW,Pharmacies,35.20,Historical
2016Q2,NW,Physiothérapeutes,21.58,Historical
2016Q2,NW,SPITEX (soins à domicile),16.48,Historical
2016Q2,NW,Total,789.74,Historical
